ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-03-27,1968.78997115669,1919.0557120301896,1992.7824500097995,1968.78997115669,1968.78997115669,-12.472479573077178,-12.472479573077178,-12.472479573077178,-12.472479573077178,-12.472479573077178,-12.472479573077178,0.0,0.0,0.0,1956.3174915836128
2023-03-28,1972.4943683132267,1927.076965392047,2001.1805781634273,1972.4943683132267,1972.4943683132267,-8.674730876346786,-8.674730876346786,-8.674730876346786,-8.674730876346786,-8.674730876346786,-8.674730876346786,0.0,0.0,0.0,1963.81963743688
2023-03-29,1976.1987654697634,1929.7979811763591,2004.9935571512353,1976.1987654697634,1976.1987654697634,-9.503886783963098,-9.503886783963098,-9.503886783963098,-9.503886783963098,-9.503886783963098,-9.503886783963098,0.0,0.0,0.0,1966.6948786858004
2023-03-30,1979.800777922985,1932.0182486420817,2006.3343447657387,1979.800777922985,1979.800777922985,-9.299036300984552,-9.299036300984552,-9.299036300984552,-9.299036300984552,-9.299036300984552,-9.299036300984552,0.0,0.0,0.0,1970.5017416220003
2023-03-31,1983.4027903762067,1936.7014507275753,2011.0105920664494,1983.4027903762067,1983.4027903762067,-9.504995583211013,-9.504995583211013,-9.504995583211013,-9.504995583211013,-9.504995583211013,-9.504995583211013,0.0,0.0,0.0,1973.8977947929957
2023-04-03,1994.2088277358719,1944.969023369818,2021.3267118548806,1994.2088277358719,1994.2088277358719,-12.472479573101035,-12.472479573101035,-12.472479573101035,-12.472479573101035,-12.472479573101035,-12.472479573101035,0.0,0.0,0.0,1981.7363481627708
2023-04-04,1997.8108401890934,1952.093127416665,2028.0256036449184,1997.8108401890934,1997.8108401890934,-8.67473087634745,-8.67473087634745,-8.67473087634745,-8.67473087634745,-8.67473087634745,-8.67473087634745,0.0,0.0,0.0,1989.136109312746
2023-04-05,2001.412852642315,1953.2161236637926,2028.8574930918512,2001.412852642315,2001.412852642315,-9.503886783962136,-9.503886783962136,-9.503886783962136,-9.503886783962136,-9.503886783962136,-9.503886783962136,0.0,0.0,0.0,1991.908965858353
2023-04-06,2005.0148650955366,1959.3595177499244,2033.5348882586748,2005.0148650955366,2005.0148650955366,-9.299036300975507,-9.299036300975507,-9.299036300975507,-9.299036300975507,-9.299036300975507,-9.299036300975507,0.0,0.0,0.0,1995.715828794561
2023-04-10,2019.4229149084233,1967.7223717796899,2044.3699746752895,2019.4229149084233,2019.4229149084233,-12.472479573098967,-12.472479573098967,-12.472479573098967,-12.472479573098967,-12.472479573098967,-12.472479573098967,0.0,0.0,0.0,2006.9504353353243
2023-04-11,2023.024927361645,1975.4456611236355,2053.5487214442196,2023.024927361645,2023.024927361645,-8.674730876325315,-8.674730876325315,-8.674730876325315,-8.674730876325315,-8.674730876325315,-8.674730876325315,0.0,0.0,0.0,2014.3501964853197
2023-04-12,2023.6306470940447,1974.8224125693253,2049.198504590645,2023.6306470940447,2023.6306470940447,-9.503886783961171,-9.503886783961171,-9.503886783961171,-9.503886783961171,-9.503886783961171,-9.503886783961171,0.0,0.0,0.0,2014.1267603100835
2023-04-13,2024.2363668264445,1974.3986992455937,2052.7702570572196,2024.2363668264445,2024.2363668264445,-9.299036301008671,-9.299036301008671,-9.299036301008671,-9.299036301008671,-9.299036301008671,-9.299036301008671,0.0,0.0,0.0,2014.9373305254358
2023-04-14,2024.8420865588441,1977.2666640717935,2052.384313298557,2024.8420865588441,2024.8420865588441,-9.504995583295589,-9.504995583295589,-9.504995583295589,-9.504995583295589,-9.504995583295589,-9.504995583295589,0.0,0.0,0.0,2015.3370909755486
2023-04-17,2026.6592457560434,1978.0967766442825,2053.556970971703,2026.6592457560434,2026.6592457560434,-12.4724795730969,-12.4724795730969,-12.4724795730969,-12.4724795730969,-12.4724795730969,-12.4724795730969,0.0,0.0,0.0,2014.1867661829465
2023-04-18,2027.2649654884433,1982.0832976092638,2055.1876975195746,2027.2649654884433,2027.2649654884433,-8.674730876370816,-8.674730876370816,-8.674730876370816,-8.674730876370816,-8.674730876370816,-8.674730876370816,0.0,0.0,0.0,2018.5902346120724
2023-04-19,2027.870685220843,1978.7698992573871,2058.5018862797097,2027.870685220843,2027.870685220843,-9.503886783960207,-9.503886783960207,-9.503886783960207,-9.503886783960207,-9.503886783960207,-9.503886783960207,0.0,0.0,0.0,2018.3667984368826
2023-04-20,2028.4764049532428,1978.8797901254754,2053.5401495102024,2028.4764049532428,2028.4764049532428,-9.299036300999632,-9.299036300999632,-9.299036300999632,-9.299036300999632,-9.299036300999632,-9.299036300999632,0.0,0.0,0.0,2019.177368652243
2023-04-21,2029.0821246856426,1981.563049586377,2060.0881697246364,2029.0821246856426,2029.0821246856426,-9.50499558330176,-9.50499558330176,-9.50499558330176,-9.50499558330176,-9.50499558330176,-9.50499558330176,0.0,0.0,0.0,2019.577129102341
2023-04-24,2026.3785319540748,1973.0431571238285,2051.7888476927706,2026.3785319540748,2026.3785319540748,-12.472479573146686,-12.472479573146686,-12.472479573146686,-12.472479573146686,-12.472479573146686,-12.472479573146686,0.0,0.0,0.0,2013.906052380928
2023-04-25,2025.4773343768857,1978.022311542385,2052.0966493811497,2025.4773343768857,2025.4773343768857,-8.674730876360075,-8.674730876360075,-8.674730876360075,-8.674730876360075,-8.674730876360075,-8.674730876360075,0.0,0.0,0.0,2016.8026035005255
2023-04-26,2024.576136799696,1976.9551211418159,2052.8296965825243,2024.576136799696,2024.576136799696,-9.5038867839578,-9.5038867839578,-9.5038867839578,-9.5038867839578,-9.5038867839578,-9.5038867839578,0.0,0.0,0.0,2015.0722500157383
2023-04-27,2023.674939222507,1975.2094567990473,2052.9744679881715,2023.674939222507,2023.674939222507,-9.29903630101169,-9.29903630101169,-9.29903630101169,-9.29903630101169,-9.29903630101169,-9.29903630101169,0.0,0.0,0.0,2014.3759029214953
2023-04-28,2022.7737416453176,1974.7572551207295,2053.7862579229823,2022.7737416453176,2022.7737416453176,-9.504995583307926,-9.504995583307926,-9.504995583307926,-9.504995583307926,-9.504995583307926,-9.504995583307926,0.0,0.0,0.0,2013.2687460620098
2023-05-01,2020.0701489137498,1971.3461313444425,2047.577305248692,2020.0701489137498,2020.0701489137498,-12.472479573144618,-12.472479573144618,-12.472479573144618,-12.472479573144618,-12.472479573144618,-12.472479573144618,0.0,0.0,0.0,2007.597669340605
2023-05-02,2019.1689513365607,1974.6583250105225,2049.598657093393,2019.1689513365607,2019.1689513365607,-8.67473087636074,-8.67473087636074,-8.67473087636074,-8.67473087636074,-8.67473087636074,-8.67473087636074,0.0,0.0,0.0,2010.4942204601998
2023-05-03,2018.2677537593709,1970.2300021260037,2045.852986271606,2018.2677537593709,2018.2677537593709,-9.503886783956833,-9.503886783956833,-9.503886783956833,-9.503886783956833,-9.503886783956833,-9.503886783956833,0.0,0.0,0.0,2008.763866975414
2023-05-04,2017.2193900344555,1968.0189526733857,2045.4996177176295,2017.2193900344555,2017.2193900344555,-9.299036300983785,-9.299036300983785,-9.299036300983785,-9.299036300983785,-9.299036300983785,-9.299036300983785,0.0,0.0,0.0,2007.9203537334718
2023-05-05,2016.1710263095404,1969.1949517377943,2045.0861621811382,2016.1710263095404,2016.1710263095404,-9.504995583248807,-9.504995583248807,-9.504995583248807,-9.504995583248807,-9.504995583248807,-9.504995583248807,0.0,0.0,0.0,2006.6660307262916
2023-05-08,2013.0259351347943,1960.3473183942358,2037.480094463892,2013.0259351347943,2013.0259351347943,-12.472479573168476,-12.472479573168476,-12.472479573168476,-12.472479573168476,-12.472479573168476,-12.472479573168476,0.0,0.0,0.0,2000.5534555616257
2023-05-09,2011.9775714098791,1965.8579619944353,2039.2726397050933,2011.9775714098791,2011.9775714098791,-8.674730876361405,-8.674730876361405,-8.674730876361405,-8.674730876361405,-8.674730876361405,-8.674730876361405,0.0,0.0,0.0,2003.3028405335178
2023-05-10,2010.9292076849638,1964.9974455370614,2040.7286321179215,2010.9292076849638,2010.9292076849638,-9.503886783961256,-9.503886783961256,-9.503886783961256,-9.503886783961256,-9.503886783961256,-9.503886783961256,0.0,0.0,0.0,2001.4253209010026
2023-05-11,2009.8808439600484,1963.323581805324,2038.4657723780142,2009.8808439600484,2009.8808439600484,-9.299036300995844,-9.299036300995844,-9.299036300995844,-9.299036300995844,-9.299036300995844,-9.299036300995844,0.0,0.0,0.0,2000.5818076590526
2023-05-12,2008.832480235133,1961.7917048005156,2038.1900907580405,2008.832480235133,2008.832480235133,-9.504995583254974,-9.504995583254974,-9.504995583254974,-9.504995583254974,-9.504995583254974,-9.504995583254974,0.0,0.0,0.0,1999.3274846518782
2023-05-15,2005.6873890603872,1954.7288284622828,2030.1250001440567,2005.6873890603872,2005.6873890603872,-12.472479573093437,-12.472479573093437,-12.472479573093437,-12.472479573093437,-12.472479573093437,-12.472479573093437,0.0,0.0,0.0,1993.2149094872939
2023-05-16,2004.6390254215137,1958.6023132502391,2033.1286807838123,2004.6390254215137,2004.6390254215137,-8.674730876339266,-8.674730876339266,-8.674730876339266,-8.674730876339266,-8.674730876339266,-8.674730876339266,0.0,0.0,0.0,1995.9642945451744
2023-05-17,2003.5906617826404,1957.2069500761347,2032.6663269436176,2003.5906617826404,2003.5906617826404,-9.503886783954906,-9.503886783954906,-9.503886783954906,-9.503886783954906,-9.503886783954906,-9.503886783954906,0.0,0.0,0.0,1994.0867749986855
2023-05-18,2002.5422981437669,1956.0350406774928,2031.7582075476341,2002.5422981437669,2002.5422981437669,-9.299036300986803,-9.299036300986803,-9.299036300986803,-9.299036300986803,-9.299036300986803,-9.299036300986803,0.0,0.0,0.0,1993.2432618427802
2023-05-19,2001.4939345048936,1953.696189507538,2030.3005784962284,2001.4939345048936,2001.4939345048936,-9.5049955832285,-9.5049955832285,-9.5049955832285,-9.5049955832285,-9.5049955832285,-9.5049955832285,0.0,0.0,0.0,1991.988938921665
2023-05-22,1998.3488435882732,1949.1919712639053,2023.3373707343608,1998.3488435882732,1998.3488435882732,-12.472479573117297,-12.472479573117297,-12.472479573117297,-12.472479573117297,-12.472479573117297,-12.472479573117297,0.0,0.0,0.0,1985.876364015156
2023-05-23,1997.3004799493997,1952.1091155400143,2026.5374802809804,1997.3004799493997,1997.3004799493997,-8.674730876339929,-8.674730876339929,-8.674730876339929,-8.674730876339929,-8.674730876339929,-8.674730876339929,0.0,0.0,0.0,1988.6257490730598
2023-05-24,1996.2521163105264,1950.2659841106654,2023.923415633503,1996.2521163105264,1996.2521163105264,-9.503886783959327,-9.503886783959327,-9.503886783959327,-9.503886783959327,-9.503886783959327,-9.503886783959327,0.0,0.0,0.0,1986.748229526567
2023-05-25,1995.2037526716533,1949.1960411956456,2022.9683295443947,1995.2037526716533,1995.2037526716533,-9.29903630099886,-9.29903630099886,-9.29903630099886,-9.29903630099886,-9.29903630099886,-9.29903630099886,0.0,0.0,0.0,1985.9047163706546
2023-05-26,1994.1553890638422,1948.6366415594737,2024.1623795896928,1994.1553890638422,1994.1553890638422,-9.504995583306911,-9.504995583306911,-9.504995583306911,-9.504995583306911,-9.504995583306911,-9.504995583306911,0.0,0.0,0.0,1984.6503934805353
2023-05-30,1989.9619346325987,1945.288004870845,2016.3074962067817,1989.9619346325987,1989.9619346325987,-8.674730876362634,-8.674730876362634,-8.674730876362634,-8.674730876362634,-8.674730876362634,-8.674730876362634,0.0,0.0,0.0,1981.287203756236
2023-05-31,1988.9135710247876,1942.4845873918157,2017.7401640187259,1988.9135710247876,1988.9135710247876,-9.50388678395692,-9.50388678395692,-9.50388678395692,-9.50388678395692,-9.50388678395692,-9.50388678395692,0.0,0.0,0.0,1979.4096842408308
2023-06-01,1987.865207416977,1940.6085248956917,2014.9489139178736,1987.865207416977,1987.865207416977,-9.29903630098982,-9.29903630098982,-9.29903630098982,-9.29903630098982,-9.29903630098982,-9.29903630098982,0.0,0.0,0.0,1978.5661711159871
2023-06-02,1986.816843809166,1937.3268514153585,2010.2529026426992,1986.816843809166,1986.816843809166,-9.504995583280433,-9.504995583280433,-9.504995583280433,-9.504995583280433,-9.504995583280433,-9.504995583280433,0.0,0.0,0.0,1977.3118482258856
2023-06-05,1983.6717529857333,1930.5397374351592,2008.5139796516344,1983.6717529857333,1983.6717529857333,-12.47247957313909,-12.47247957313909,-12.47247957313909,-12.47247957313909,-12.47247957313909,-12.47247957313909,0.0,0.0,0.0,1971.1992734125943
2023-06-06,1982.6233893779224,1935.96636121629,2012.1405803473929,1982.6233893779224,1982.6233893779224,-8.674730876363295,-8.674730876363295,-8.674730876363295,-8.674730876363295,-8.674730876363295,-8.674730876363295,0.0,0.0,0.0,1973.948658501559
2023-06-07,1981.5750257701113,1935.4729301524656,2009.7329963803352,1981.5750257701113,1981.5750257701113,-9.50388678395596,-9.50388678395596,-9.50388678395596,-9.50388678395596,-9.50388678395596,-9.50388678395596,0.0,0.0,0.0,1972.0711389861553
2023-06-08,1980.5266624334477,1935.1461396537686,2008.787000147488,1980.5266624334477,1980.5266624334477,-9.299036301022985,-9.299036301022985,-9.299036301022985,-9.299036301022985,-9.299036301022985,-9.299036301022985,0.0,0.0,0.0,1971.2276261324246
2023-06-09,1979.4782990967838,1932.9870045457058,2006.6196250011617,1979.4782990967838,1979.4782990967838,-9.50499558325396,-9.50499558325396,-9.50499558325396,-9.50499558325396,-9.50499558325396,-9.50499558325396,0.0,0.0,0.0,1969.9733035135298
2023-06-12,1976.3332090867923,1926.7097623975337,2002.8480243020322,1976.3332090867923,1976.3332090867923,-12.472479573137026,-12.472479573137026,-12.472479573137026,-12.472479573137026,-12.472479573137026,-12.472479573137026,0.0,0.0,0.0,1963.8607295136553
2023-06-13,1975.2848457501284,1930.2619159247092,2003.7654073928097,1975.2848457501284,1975.2848457501284,-8.674730876352562,-8.674730876352562,-8.674730876352562,-8.674730876352562,-8.674730876352562,-8.674730876352562,0.0,0.0,0.0,1966.6101148737757
2023-06-14,1974.2364824134645,1926.2589071211173,2003.7192755599956,1974.2364824134645,1974.2364824134645,-9.503886783954995,-9.503886783954995,-9.503886783954995,-9.503886783954995,-9.503886783954995,-9.503886783954995,0.0,0.0,0.0,1964.7325956295094
2023-06-15,1973.1881190768008,1926.726160174372,2004.489079108554,1973.1881190768008,1973.1881190768008,-9.299036301013944,-9.299036301013944,-9.299036301013944,-9.299036301013944,-9.299036301013944,-9.299036301013944,0.0,0.0,0.0,1963.8890827757868
2023-06-16,1972.1397557401367,1924.3311554505053,1999.7897330772887,1972.1397557401367,1972.1397557401367,-9.504995583332372,-9.504995583332372,-9.504995583332372,-9.504995583332372,-9.504995583332372,-9.504995583332372,0.0,0.0,0.0,1962.6347601568043
2023-06-20,1967.9463023934813,1920.7619859596623,1996.48656131285,1967.9463023934813,1967.9463023934813,-8.67473087634182,-8.67473087634182,-8.67473087634182,-8.67473087634182,-8.67473087634182,-8.67473087634182,0.0,0.0,0.0,1959.2715715171396
2023-06-21,1967.564766309694,1917.9599810768566,1997.094492094977,1967.564766309694,1967.564766309694,-9.503886783959416,-9.503886783959416,-9.503886783959416,-9.503886783959416,-9.503886783959416,-9.503886783959416,0.0,0.0,0.0,1958.0608795257347
2023-06-22,1967.1832302259072,1923.1989631606448,1997.3198031388274,1967.1832302259072,1967.1832302259072,-9.299036300986037,-9.299036300986037,-9.299036300986037,-9.299036300986037,-9.299036300986037,-9.299036300986037,0.0,0.0,0.0,1957.8841939249212
